# BH Parameters: L=8,N=8,D=1,l=4,U=3.300000,t=1.000000,bin_size=10000 (STD ERRORS)
# Pn0Err Pn1Err Pn2Err Pn3Err Pn4Err Pn5Err Pn6Err Pn7Err Pn8Err betas 
2.868533477168843e-07 2.0663793717866688e-06 7.509572384484743e-06 1.3781079934542666e-05 1.4160908513258434e-05 1.3669801989082052e-05 7.92397649002754e-06 2.3723384084011333e-06 3.0211077958112815e-07 0.6
2.1003918503203852e-07 1.7539915253324269e-06 7.441776809568504e-06 1.343037653717988e-05 1.4517449722568015e-05 1.3575078412912803e-05 7.133194383922069e-06 1.783809595670687e-06 2.087846439864533e-07 0.7
1.7117289687862348e-07 1.5084605747114244e-06 6.702721826733702e-06 1.3774748644631438e-05 1.387156680125826e-05 1.388559023258392e-05 6.520768211925737e-06 1.5813989399142735e-06 1.691997559271198e-07 0.8
1.534518220424055e-07 1.4366359598134322e-06 6.555603204945863e-06 1.3456152988563354e-05 1.5186981553197963e-05 1.3765601223700056e-05 6.976219188745008e-06 1.5707056327207293e-06 1.5381011198445277e-07 0.9
1.1585320469998159e-07 1.2285333390837914e-06 6.343049356750583e-06 1.5817161381139214e-05 1.5712318969497084e-05 1.4861230136816922e-05 6.771627664858715e-06 1.3628939550852879e-06 1.3215429785599072e-07 1.0
1.0301919513350536e-07 1.1728172861991883e-06 6.396219699793021e-06 1.5141904524441641e-05 1.631510408792471e-05 1.5035001788087583e-05 6.2809044469984525e-06 1.2610165843560758e-06 1.004680171700911e-07 1.15
8.968206796237807e-08 1.1372517946189267e-06 6.209307627540504e-06 1.744652709648071e-05 1.8698506826645203e-05 1.6137706388121104e-05 6.660034758263845e-06 1.149740581188802e-06 8.796968251211952e-08 1.3
8.09930405764263e-08 1.1337502263839676e-06 6.679122531877641e-06 1.7250948084281803e-05 1.868502643878827e-05 1.743666675754545e-05 7.126461379194945e-06 1.209749280193337e-06 8.459496571208813e-08 1.5
7.443180340032248e-08 1.0884476258005642e-06 7.089352397619121e-06 1.8234410273900033e-05 2.0761368188492983e-05 1.834998708924813e-05 7.274411758216382e-06 1.1678211783272965e-06 8.015754112050317e-08 1.75
7.281558415219428e-08 1.1926176400144108e-06 7.0694899727350885e-06 1.9498410629469035e-05 2.1513331708936813e-05 1.9060098283906716e-05 7.2259045777911335e-06 1.16080713284516e-06 7.329249182465545e-08 2.0
3.1425813649104505e-08 4.959404047778378e-07 3.098991989610489e-06 8.211586679271148e-06 1.0322168156998343e-05 8.485334306722168e-06 3.2011501994511613e-06 5.216065104819142e-07 3.42414732977157e-08 2.5
4.2740009053738725e-08 6.380075546484566e-07 4.178494899247345e-06 1.0982702613741598e-05 1.4183632064305212e-05 1.1308456737299353e-05 4.512189279440593e-06 7.42219038134181e-07 4.5030004417282485e-08 3.0
2.515178731036779e-08 4.0164055934318896e-07 2.4780444791991323e-06 6.966977098046364e-06 7.942592418617424e-06 7.008167981459604e-06 2.6014165216341387e-06 4.047984415013894e-07 2.5237523853910836e-08 3.5
2.3884362302257815e-08 3.872806299534275e-07 2.425204024029466e-06 6.893262608865631e-06 7.527926938995596e-06 6.697244657279782e-06 2.6004927387463763e-06 3.7553664741332995e-07 2.5802548126939055e-08 4.0
3.7923216009957836e-08 5.791348271372911e-07 3.4967397372139325e-06 9.295511659508297e-06 1.2199684190562022e-05 9.225917195816903e-06 3.7140427810398885e-06 5.610574867981717e-07 3.5483155394614585e-08 6.0
4.280454756732729e-08 6.335202809823858e-07 4.360510727745887e-06 1.088968866160548e-05 1.3399863409101757e-05 1.1451687781096483e-05 4.284287325171857e-06 7.37353623018305e-07 4.414901637802647e-08 8.0
